RecipientEmail,mood_before,mood_after,tau,day,group.x,task,activity_type,intensity,beneficiary,Gender,comments
45,1,1,0,4,1a,think_catch_friend,0,1,1,0,-99
45,1,3,2,5,1a,make_tea,1,0,0,0,-99
45,0,2,2,6,1a,list_song,1,1,0,0,-99
45,1,2,1,7,1a,wash_cup,1,0,1,0,-99
45,1,2,1,8,1a,think_achieve_goal,0,1,0,0,-99
65,3,3,0,1,1b,wash_cup,1,0,1,0,"Today, I think I felt more anxious after the mindfulness task, but that was because there were many more dishes to wash, than just one.  And, I was getting distracted by my kids and trying to hurry.

I do think it is good though, bc if I thought of it as washing a dish ‘for’ someone else, then there was more compassion in it."
65,2,4,2,2,1b,list_song,1,1,0,0,Beautiful.  A song really can lift moods.  I don’t often though Bc some songs make me sad.
65,4,5,1,3,1b,make_tea,1,0,0,0,"Mmm, something I would not think of- to slow down and appreciate the drink.  And itself, just pouring it into the glass.  Made me think, ooh, it would be fun to have colorful unique glasses."
65,2,4,2,4,1b,think_achieve_goal,0,1,0,0,"As I was thinking about a goal completed, it inspired me to actually write down a future goal.  So, caused me to be more positive, because I realized I had actually accomplished a goal before when I planned for it and followed through with it.  I just did the same thing, to write down, and thus, know in my head what I need to do to accomplish it.  Thanks!"
65,5,5,0,5,1b,share_book,1,1,1,0,-99
65,4,3,-1,6,1b,think_catch_friend,0,1,1,0,"I felt sad after, because I knew I had not been proactive in catching up with this friend.  "
65,3,4,1,7,1b,think_make_bed,0,0,0,0,-99
65,4,5,1,8,1b,think_clean_up,0,0,1,0,Feels so good to organize something for someone else.  
18,0,1,1,1,1a,think_make_bed,0,0,0,0,-99
18,1,3,2,2,1a,think_clean_up,0,0,1,0,-99
18,2,3,1,3,1a,share_book,1,1,1,0,-99
18,2,3,1,4,1a,think_catch_friend,0,1,1,0,-99
18,3,4,1,5,1a,make_tea,1,0,0,0,-99
18,1,4,3,6,1a,list_song,1,1,0,0,-99
18,2,3,1,7,1a,wash_cup,1,0,1,0,-99
18,1,2,1,8,1a,think_achieve_goal,0,1,0,0,-99
53,-2,-2,0,1,2b,clean_up,1,0,1,1,-99
53,0,2,2,2,2b,think_make_tea,0,0,0,1,-99
53,-2,4,6,3,2b,catch_friend,1,1,1,1,-99
53,1,0,-1,4,2b,make_bed,1,0,0,1,-99
53,0,0,0,5,2b,think_list_song,0,1,0,1,-99
57,1,2,1,1,2b,clean_up,1,0,1,0,"I think I actually did a better job of cleaning up than normal, i had more focus on the detail than normally when i'm thinking about something else."
57,-1,2,3,2,2b,think_make_tea,0,0,0,0,man the coffee also tasted better when i was mindful about preparation!
57,1,2,1,3,2b,catch_friend,1,1,1,0,-99
57,0,2,2,4,2b,make_bed,1,0,0,0,-99
57,-2,0,2,5,2b,think_list_song,0,1,0,0,I was somewhat unclear - was I supposed to just think about listening to the song (that is what I did) or was I actually supposed to be mindful while listening to the song? (I did not do that).
57,1,1,0,6,2b,think_wash_cup,0,0,1,0,-99
57,2,2,0,7,2b,think_share_book,0,1,1,0,-99
57,1,2,1,8,2b,achieve_goal,1,1,0,0,-99
38,-3,-3,0,1,1a,think_make_bed,0,0,0,0,"Bear in mind that I'm hunkered down at home with my 3 kids for at least 4 weeks due to coronavirus, and today was the first day of school closure. My stress level is pretty high at the moment."
38,-1,-1,0,2,1a,think_clean_up,0,0,1,0,-99
38,-1,0,1,3,1a,share_book,1,1,1,0,-99
38,1,1,0,4,1a,think_catch_friend,0,1,1,0,-99
38,0,0,0,5,1a,make_tea,1,0,0,0,-99
38,1,1,0,6,1a,list_song,1,1,0,0,-99
38,1,0,-1,7,1a,wash_cup,1,0,1,0,-99
38,0,0,0,8,1a,think_achieve_goal,0,1,0,0,-99
4,0,2,2,1,1a,think_make_bed,0,0,0,0,-99
4,3,3,0,2,1a,think_clean_up,0,0,1,0,-99
4,2,2,0,3,1a,share_book,1,1,1,0,-99
4,1,-99,0,4,1a,think_catch_friend,0,1,1,0,""
4,0,0,0,5,1a,make_tea,1,0,0,0,-99
4,0,0,0,6,1a,list_song,1,1,0,0,-99
4,0,1,1,7,1a,wash_cup,1,0,1,0,-99
4,-1,1,2,8,1a,think_achieve_goal,0,1,0,0,-99
27,0,0,0,1,1a,think_make_bed,0,0,0,0,Never make bed. So sad
27,2,0,-2,2,1a,think_clean_up,0,0,1,0,-99
27,0,0,0,3,1a,share_book,1,1,1,0,-99
27,2,3,1,4,1a,think_catch_friend,0,1,1,0,-99
27,1,4,3,5,1a,make_tea,1,0,0,0,-99
27,1,2,1,6,1a,list_song,1,1,0,0,-99
27,0,2,2,7,1a,wash_cup,1,0,1,0,-99
27,-2,-99,0,8,1a,think_achieve_goal,0,1,0,0,""
13,0,4,4,1,2a,think_list_song,0,1,0,0,Music does make a difference :)
13,3,5,2,2,2a,achieve_goal,1,1,0,0,I completed a beautiful painting i had been putting off with a multitude of excuses 
13,3,5,2,3,2a,make_bed,1,0,0,0,I love to see things perfectly organized!!
13,3,5,2,4,2a,clean_up,1,0,1,0,My husband was blown away to see his car sparkling clean😂😂😂😂... he cooked dinner for me! I did not realize that something so simple would mean so much to him :)
60,2,-99,0,1,2b,clean_up,1,0,1,0,""
20,4,4,0,1,1b,wash_cup,1,0,1,0,I like the temperature of the water on my hands and the softness of the soap. 
20,5,5,0,2,1b,list_song,1,1,0,0,-99
20,0,4,4,3,1b,make_tea,1,0,0,0,I made tea. The fresh scent of ginger uplifted my mood. 
20,4,4,0,4,1b,think_achieve_goal,0,1,0,0,-99
20,0,3,3,5,1b,share_book,1,1,1,0,-99
20,0,5,5,6,1b,think_catch_friend,0,1,1,0," I did a FaceTime , saw this friend after a long time . Thanks to ‘stay at home ‘ time. The conversation bought back many memories and gossips was never ending. Love the color she was wearing . Overall chat left me smiling and feeling happy! "
20,5,5,0,7,1b,think_make_bed,0,0,0,0,-99
20,-1,2,3,8,1b,think_clean_up,0,0,1,0,-99
21,-1,3,4,1,2a,think_list_song,0,1,0,0,"Not sure I did this one right or that it was fair, per se, because
1. Today was full coronavirus anxiety from everywhere
2. Lizzo will fix almost anything
3. It's impossible to listen to Lizzo and not dance, so while that is a full-attention activity, I don't know if it counts for what you guys had in mind.
If it does though, all the better :)
"
21,2,2,0,2,2a,achieve_goal,1,1,0,0,"This one felt disjointed. The practice of listing literal steps/actions/whatever in response to an abstract but personal question feels very americanocentric and a bit alien in my way of thinking. The experience (and certainly pleasure) of good paper and nice writing implement can be a nice focus but the forcing of """"I did X about Y"""" (especially when having to define both a random X and the purported, but equally arbitrary Ys) kinda messed it up"
21,2,2,0,3,2a,make_bed,1,0,0,0,"No particular mood shift after the task, even though it is satisfying both in sensory terms (smell good, feel good, that kind of thing), and in terms of having accomplished a small but distinct task that brings order to the environment. While I explicitly tried to concentrate on aspects like the ones you suggested, it also was interesting to note that perhaps I do that normally anyway. It didn't seem different."
21,2,3,1,4,2a,clean_up,1,0,1,0,"I indicated one point higher in the mood scale but that is not necessarily accurate. This simple kind of task is always nice in terms of accomplishing something small, which however brings order to the environment and facilitates other things inordinately. It was just *interesting* to contemplate the task a little differently, hence the point increase."
21,2,2,0,5,2a,think_make_tea,0,0,0,0,-99
21,2,3,1,6,2a,catch_friend,1,1,1,0,-99
21,2,3,1,7,2a,think_wash_cup,0,0,1,0,-99
21,-1,0,1,8,2a,think_share_book,0,1,1,0,"The """"think about"""" activities are weird. Is this about making an imaginary scene WITHIN which you imagine focusing on aspects of objects or tasks WHILE you accomplish the actual task? "
47,-2,-2,0,1,1b,wash_cup,1,0,1,1,""
47,-3,-1,2,2,1b,list_song,1,1,0,1,-99
47,-4,-3,1,3,1b,make_tea,1,0,0,1,-99
47,-3,-3,0,4,1b,think_achieve_goal,0,1,0,1,-99
47,-4,-4,0,5,1b,share_book,1,1,1,1,-99
47,-4,-3,1,6,1b,think_catch_friend,0,1,1,1,-99
47,-4,-4,0,7,1b,think_make_bed,0,0,0,1,-99
47,-4,-4,0,8,1b,think_clean_up,0,0,1,1,-99
68,0,1,1,1,2b,clean_up,1,0,1,0,-99
68,0,2,2,2,2b,think_make_tea,0,0,0,0,-99
68,0,4,4,3,2b,catch_friend,1,1,1,0,-99
68,1,4,3,4,2b,make_bed,1,0,0,0,-99
68,1,3,2,5,2b,think_list_song,0,1,0,0,-99
68,1,2,1,6,2b,think_wash_cup,0,0,1,0,-99
68,1,1,0,7,2b,think_share_book,0,1,1,0,-99
68,1,2,1,8,2b,achieve_goal,1,1,0,0,-99
19,1,-99,0,1,1b,wash_cup,1,0,1,0,""
19,1,2,1,2,1b,list_song,1,1,0,0,-99
19,2,2,0,3,1b,make_tea,1,0,0,0,-99
19,1,1,0,4,1b,think_achieve_goal,0,1,0,0,-99
19,2,2,0,5,1b,share_book,1,1,1,0,-99
19,2,2,0,6,1b,think_catch_friend,0,1,1,0,-99
19,2,3,1,7,1b,think_make_bed,0,0,0,0,-99
19,2,2,0,8,1b,think_clean_up,0,0,1,0,-99
30,5,0,-5,1,2b,clean_up,1,0,1,0,-99
30,4,4,0,2,2b,think_make_tea,0,0,0,0,-99
30,4,5,1,3,2b,catch_friend,1,1,1,0,-99
30,5,2,-3,4,2b,make_bed,1,0,0,0,-99
30,4,5,1,5,2b,think_list_song,0,1,0,0,-99
30,5,1,-4,6,2b,think_wash_cup,0,0,1,0,-99
30,4,5,1,7,2b,think_share_book,0,1,1,0,-99
30,5,5,0,8,2b,achieve_goal,1,1,0,0,-99
8,3,4,1,1,1a,think_make_bed,0,0,0,1,-99
8,3,3,0,2,1a,think_clean_up,0,0,1,1,-99
8,3,0,-3,3,1a,share_book,1,1,1,1,-99
8,3,2,-1,4,1a,think_catch_friend,0,1,1,1,-99
8,3,4,1,5,1a,make_tea,1,0,0,1,-99
8,3,3,0,6,1a,list_song,1,1,0,1,-99
8,2,4,2,7,1a,wash_cup,1,0,1,1,-99
8,3,3,0,8,1a,think_achieve_goal,0,1,0,1,-99
54,0,1,1,1,2b,clean_up,1,0,1,0,-99
54,0,2,2,2,2b,think_make_tea,0,0,0,0,-99
54,0,2,2,3,2b,catch_friend,1,1,1,0,-99
54,0,0,0,4,2b,make_bed,1,0,0,0,-99
54,0,2,2,5,2b,think_list_song,0,1,0,0,-99
54,0,0,0,6,2b,think_wash_cup,0,0,1,0,-99
54,0,2,2,7,2b,think_share_book,0,1,1,0,-99
54,0,2,2,8,2b,achieve_goal,1,1,0,0,-99
69,3,4,1,1,2b,clean_up,1,0,1,0,-99
69,5,5,0,2,2b,think_make_tea,0,0,0,0,-99
69,3,4,1,3,2b,catch_friend,1,1,1,0,-99
69,4,0,-4,4,2b,make_bed,1,0,0,0,-99
69,3,5,2,5,2b,think_list_song,0,1,0,0,-99
69,3,3,0,7,2b,think_share_book,0,1,1,0,-99
31,2,-1,-3,1,2b,clean_up,1,0,1,0,I did not want to start my day cleaning but it was a necessity.
31,-2,4,6,2,2b,think_make_tea,0,0,0,0,I got up and craved for a cup of tea.
31,0,4,4,3,2b,catch_friend,1,1,1,0,I am at home as all schools and workplace shut down due to corona virus. So chatting with a friend even through video chat is an absolute mood booster.
31,3,5,2,5,2b,think_list_song,0,1,0,0,"Love music
It is a natural mood healer"
31,-2,1,3,6,2b,think_wash_cup,0,0,1,0,Washing dishes more with stay home policy. Hence decrease in mood
31,0,4,4,7,2b,think_share_book,0,1,1,0,Love reading 
31,-2,3,5,8,2b,achieve_goal,1,1,0,0,Started to write more and realizing the interesting cursive that comes to play
24,0,0,0,8,2a,think_share_book,0,1,1,0,-99
73,3,3,0,1,1b,wash_cup,1,0,1,0,"It's nice to be able to pay attention to these details that you never otherwise think about.  Keeping the mind from wandering continues to be a challenge, even if it's just for a split second. "
73,3,4,1,2,1b,list_song,1,1,0,0,-99
73,1,1,0,3,1b,make_tea,1,0,0,0,-99
73,1,1,0,4,1b,think_achieve_goal,0,1,0,0,it's easy to take things for granted. The feeling of gratitude arises when thinking about the paper and writing utensil with such emotions.
73,3,3,0,5,1b,share_book,1,1,1,0,Sorry for thr delay in completing this. Email got buried and this day was a busy day
73,2,2,0,6,1b,think_catch_friend,0,1,1,0,"accomplished by video call since we're all quarantined
"
73,1,1,0,7,1b,think_make_bed,0,0,0,0,-99
73,2,3,1,8,1b,think_clean_up,0,0,1,0,-99
36,-1,0,1,1,2a,think_list_song,0,1,0,1,-99
36,-2,-1,1,2,2a,achieve_goal,1,1,0,1,-99
36,-1,0,1,3,2a,make_bed,1,0,0,1,-99
36,0,0,0,4,2a,clean_up,1,0,1,1,-99
36,-1,0,1,5,2a,think_make_tea,0,0,0,1,-99
62,0,3,3,1,1a,think_make_bed,0,0,0,0,-99
9,-1,1,2,1,2b,clean_up,1,0,1,0,"Hard to do in isolation and already did all the clean up for others yesterday, so the someone was myself :)"
9,2,2,0,2,2b,think_make_tea,0,0,0,0,Fun
9,-3,-1,2,3,2b,catch_friend,1,1,1,0,-99
9,-1,-1,0,4,2b,make_bed,1,0,0,0,-99
9,1,1,0,5,2b,think_list_song,0,1,0,0,-99
22,3,4,1,1,1a,think_make_bed,0,0,0,0,-99
22,4,5,1,2,1a,think_clean_up,0,0,1,0,-99
22,3,5,2,6,1a,list_song,1,1,0,0,Music is very soothing and relaxing 
22,3,4,1,7,1a,wash_cup,1,0,1,0,-99
22,2,4,2,8,1a,think_achieve_goal,0,1,0,0,-99
2,0,2,2,1,1a,think_make_bed,0,0,0,1,-99
2,0,-2,-2,2,1a,think_clean_up,0,0,1,1,-99
2,0,0,0,3,1a,share_book,1,1,1,1,-99
2,0,3,3,4,1a,think_catch_friend,0,1,1,1,-99
2,0,3,3,5,1a,make_tea,1,0,0,1,-99
2,0,-99,0,6,1a,list_song,1,1,0,1,""
2,-1,-1,0,7,1a,wash_cup,1,0,1,1,-99
2,0,0,0,8,1a,think_achieve_goal,0,1,0,1,-99
10,0,1,1,1,1a,think_make_bed,0,0,0,0,"Instead of ‘positive’, I feel more peaceful. "
10,0,-2,-2,2,1a,think_clean_up,0,0,1,0,-99
10,0,0,0,3,1a,share_book,1,1,1,0,-99
10,-1,0,1,4,1a,think_catch_friend,0,1,1,0,-99
10,2,4,2,5,1a,make_tea,1,0,0,0,-99
10,1,4,3,6,1a,list_song,1,1,0,0,-99
10,0,0,0,7,1a,wash_cup,1,0,1,0,-99
10,0,0,0,8,1a,think_achieve_goal,0,1,0,0,-99
48,-2,0,2,1,1b,wash_cup,1,0,1,0,""
48,1,3,2,2,1b,list_song,1,1,0,0,-99
48,1,3,2,3,1b,make_tea,1,0,0,0,-99
48,-2,-99,0,4,1b,think_achieve_goal,0,1,0,0,""
48,1,3,2,5,1b,share_book,1,1,1,0,-99
48,-2,2,4,6,1b,think_catch_friend,0,1,1,0,-99
48,2,4,2,7,1b,think_make_bed,0,0,0,0,-99
48,0,3,3,8,1b,think_clean_up,0,0,1,0,-99
51,0,0,0,1,1b,wash_cup,1,0,1,1,""
51,2,2,0,2,1b,list_song,1,1,0,1,-99
51,3,3,0,3,1b,make_tea,1,0,0,1,-99
51,1,2,1,4,1b,think_achieve_goal,0,1,0,1,-99
51,2,2,0,5,1b,share_book,1,1,1,1,-99
51,3,4,1,6,1b,think_catch_friend,0,1,1,1,-99
51,-1,0,1,7,1b,think_make_bed,0,0,0,1,-99
51,2,2,0,8,1b,think_clean_up,0,0,1,1,-99
26,2,3,1,1,1b,wash_cup,1,0,1,0,""
26,0,2,2,2,1b,list_song,1,1,0,0,-99
26,0,2,2,3,1b,make_tea,1,0,0,0,-99
26,0,-99,0,4,1b,think_achieve_goal,0,1,0,0,""
26,1,2,1,5,1b,share_book,1,1,1,0,-99
26,2,2,0,6,1b,think_catch_friend,0,1,1,0,-99
26,1,2,1,7,1b,think_make_bed,0,0,0,0,-99
26,0,2,2,8,1b,think_clean_up,0,0,1,0,-99
58,0,2,2,1,2b,clean_up,1,0,1,1,-99
58,-1,0,1,2,2b,think_make_tea,0,0,0,1,-99
58,-3,2,5,3,2b,catch_friend,1,1,1,1,-99
58,-3,-1,2,4,2b,make_bed,1,0,0,1,-99
58,1,3,2,5,2b,think_list_song,0,1,0,1,-99
58,1,1,0,6,2b,think_wash_cup,0,0,1,1,-99
58,0,0,0,7,2b,think_share_book,0,1,1,1,-99
58,1,-1,-2,8,2b,achieve_goal,1,1,0,1,-99
28,0,2,2,1,2a,think_list_song,0,1,0,0,-99
28,-1,-1,0,2,2a,achieve_goal,1,1,0,0,-99
28,-3,-2,1,3,2a,make_bed,1,0,0,0,-99
28,-3,-2,1,4,2a,clean_up,1,0,1,0,-99
28,0,2,2,5,2a,think_make_tea,0,0,0,0,-99
28,0,2,2,6,2a,catch_friend,1,1,1,0,-99
28,-1,0,1,7,2a,think_wash_cup,0,0,1,0,-99
28,-1,0,1,8,2a,think_share_book,0,1,1,0,-99
12,0,0,0,1,2a,think_list_song,0,1,0,1,-99
12,0,1,1,2,2a,achieve_goal,1,1,0,1,-99
12,1,1,0,3,2a,make_bed,1,0,0,1,-99
12,-1,0,1,4,2a,clean_up,1,0,1,1,-99
12,0,0,0,5,2a,think_make_tea,0,0,0,1,-99
12,0,3,3,6,2a,catch_friend,1,1,1,1,-99
12,0,0,0,7,2a,think_wash_cup,0,0,1,1,-99
12,0,0,0,8,2a,think_share_book,0,1,1,1,-99
15,2,3,1,1,1a,think_make_bed,0,0,0,1,-99
15,2,-99,0,2,1a,think_clean_up,0,0,1,1,""
15,1,-99,0,3,1a,share_book,1,1,1,1,""
15,2,4,2,4,1a,think_catch_friend,0,1,1,1,-99
15,0,1,1,5,1a,make_tea,1,0,0,1,-99
15,0,-99,0,6,1a,list_song,1,1,0,1,""
